focus_value,x,y,z,quaternion,timestamp,metric
785.6650002485254,0.680326006344121,0.10285296367456671,0.34761855560762445,"0.7073597090742147,0.7068535075257373,0.00013909114866428595,-0.000584406243276623",0.0,squared_sobel
790.8951879593913,0.6803197939257895,0.10282190890055608,0.3476378056404568,"0.707374628774115,0.7068385968111053,0.00013553715066930315,-0.0005605840449139898",0.23018693923950195,squared_sobel
791.3453643951723,0.6803387986444033,0.10284663185693554,0.3476003869211264,"0.7073733595838902,0.7068398674302039,0.00014924546185477933,-0.0005564962212220588",0.3982548713684082,squared_sobel
796.9443951974997,0.6803286303630909,0.1028520743685623,0.34765217998030673,"0.7073695983047353,0.7068436418006464,0.00017250797479843082,-0.0005363592039826394",0.5831561088562012,squared_sobel
796.3642393851155,0.6803251063860093,0.10281376502558649,0.3476462556222355,"0.7073928845931124,0.7068203193349419,0.0001559645781311335,-0.0005645151340378998",0.8204643726348877,squared_sobel
792.2539514685936,0.6803379549360572,0.10284547449169677,0.34760234587869576,"0.7073741930785593,0.7068390333669089,0.00014963105037780328,-0.0005563146049683424",1.02976655960083,squared_sobel
793.9218877998051,0.6803202144372087,0.10284166103415074,0.3476511331830803,"0.707385912319713,0.7068273082691973,0.00016157777985424928,-0.0005488434655425906",1.1801888942718506,squared_sobel
794.2451309588837,0.6803315990480407,0.10281877767022433,0.3476489136189637,"0.7073970079765983,0.7068161996847596,0.00016454832100832939,-0.0005530757639483436",1.4603097438812256,squared_sobel
791.4163177061787,0.6803386586540359,0.1028446005377811,0.3476367479818988,"0.7073795677765516,0.7068336488067369,0.00018133924106106033,-0.0005541866949854155",1.6002297401428223,squared_sobel
789.1050968215038,0.680312948940075,0.10284683026432175,0.34762050981249115,"0.707364144786183,0.7068490797397411,0.00014872226330655462,-0.0005683517232950083",1.74173903465271,squared_sobel
783.0612674520441,0.6803318178702428,0.10283454856503024,0.3476505379283509,"0.7073790078460314,0.7068342166209837,0.0001812746827653254,-0.0005446210186921056",1.9398705959320068,squared_sobel
784.2054508105546,0.6803257025766375,0.10281299177266391,0.3476520223905607,"0.7073962426191949,0.7068169830194361,0.00016325721724724318,-0.0005308395505745835",2.102971315383911,squared_sobel
785.6995670002027,0.6803328694097308,0.10283646872204784,0.3476368534598987,"0.7073859662916709,0.7068272412183004,0.0001716855000065011,-0.0005623961367293744",2.302943229675293,squared_sobel
790.8821539640264,0.6803339206316289,0.10281526786648074,0.34763284336088907,"0.7073955570920917,0.7068176477061052,0.00016045307854004655,-0.0005594214752054323",2.503427743911743,squared_sobel
788.9807763709161,0.6803280243379103,0.10283286904733811,0.3476330742521999,"0.7073897475182941,0.7068234535131879,0.0001693231719494651,-0.0005674498726183548",2.7900915145874023,squared_sobel
790.0374054772334,0.6803345998945824,0.1028398631025879,0.3476779669386867,"0.7073892584753109,0.7068239536958502,0.00019460689037981483,-0.000545530635984715",2.9917938709259033,squared_sobel
789.3712681326433,0.6803289713425038,0.10282512900614393,0.3476142703516424,"0.707386909909371,0.7068263069213153,0.00013596432602991934,-0.0005595056282660503",3.0991127490997314,squared_sobel
787.487665330124,0.6803342450138997,0.10283113207627492,0.3476194426224656,"0.7073836780752936,0.7068295472330318,0.00013915842286640494,-0.0005511678058095742",3.3498494625091553,squared_sobel
