timestamp,focus_value,raw_focus_value,ema_last5fv,x,y,z,quaternion,metric
0.0,240.46349734901816,237.86960699353037,241.90707353684593,0.5247929592908305,0.17233847726705745,0.13645236013134543,"0.7071233544476704,0.7070299035185443,0.006473842880120222,0.006585323347846997",combined_focus_measure
0.23809432983398438,243.07761559581755,245.69173384261694,242.2972542231698,0.5247850834838825,0.17233882143230136,0.13642988046891222,"0.7071111410377074,0.7070425268125305,0.006455465436755547,0.006559456143495368",combined_focus_measure
0.48317670822143555,243.00840711605252,242.93919863628747,242.6923391636602,0.5247923863385014,0.17229991584249396,0.13643085404333088,"0.7071295374502587,0.7070240104099293,0.00643791816579757,0.0065893231013356415",combined_focus_measure
0.6838619709014893,244.65982395083284,246.3112407856132,243.785386267645,0.5248183405535731,0.17234440051196626,0.13648333292955914,"0.7071302296331812,0.7070228323987574,0.006514420186513602,0.006566211647269548",combined_focus_measure
0.8772940635681152,243.9386020076442,243.2173800644555,243.83645818097807,0.5248024395677956,0.17234431271082776,0.13644868002591293,"0.7071244868850499,0.7070289262535312,0.006475821670541396,0.006566675111888094",combined_focus_measure
1.1642422676086426,244.03969285787414,244.1407837081041,243.9493663348092,0.5259155614492796,0.1727413052762409,0.13704193216544036,"0.707037101021761,0.707107905443761,0.0071875375124727395,0.006729572214345573",combined_focus_measure
1.472881555557251,250.01441915348386,255.9891454490936,247.3188401229618,0.5275185806146834,0.17300945633293874,0.13709652736702083,"0.7069763005179048,0.7071672277003697,0.007336272932845695,0.006723218875322782",combined_focus_measure
1.6315014362335205,258.58502324467975,267.1556273358756,253.57783074613843,0.5283312470215732,0.17324498673250052,0.13722566380292053,"0.7068859289590704,0.7072558463152228,0.0074685041668981,0.006758160853282749",combined_focus_measure
1.8901407718658447,261.27306293730066,263.9611026299215,256.1429081431925,0.5298433681831265,0.17314415883596768,0.13733570331488743,"0.7070371174798314,0.7071032450598972,0.007584632986543603,0.006781494970400636",combined_focus_measure
2.149963140487671,270.92743671420044,280.58181049110016,264.3565351270858,0.5312139184600767,0.1732769781662914,0.13735707069916284,"0.7069888406966798,0.7071517405491693,0.0075702995348101345,0.006773886151847253",combined_focus_measure
2.431532144546509,273.93940028689383,276.9513638595873,269.68034910475694,0.5328487899639249,0.17303308949972895,0.13730079806353454,"0.7071537967234034,0.7069881234160907,0.007482594392043411,0.006731412142651262",combined_focus_measure
2.6500515937805176,289.0665784807528,304.19375667461185,276.14242556342225,0.5340347833434027,0.17327360982251452,0.13726029694730144,"0.7070086696199568,0.7071335984796158,0.007446539306460658,0.006735282907631778",combined_focus_measure
2.9114277362823486,298.77525561675014,308.4839327527475,288.7162200374933,0.5354583475284778,0.17332933153655883,0.13754189505738718,"0.7070070557735676,0.7071322266910516,0.007683152348575758,0.006782789347690829",combined_focus_measure
3.1091465950012207,307.30082675675555,315.8263978967609,299.0410015481946,0.5364992239708364,0.1734213064058982,0.13744621999842438,"0.7069988647639401,0.7071406484037189,0.007647261440446165,0.006799116863940914",combined_focus_measure
3.4053521156311035,313.5191433220674,319.73745988737926,307.0844136447906,0.5380816364050806,0.17353397269144574,0.13772703575074952,"0.7069711177954733,0.7071648716416383,0.007914903770712483,0.006858368420006988",combined_focus_measure
3.599541187286377,331.6110227176517,349.70290211323595,320.71030757415787,0.5391751901136883,0.173454630205445,0.13760842108952712,"0.7070503353918035,0.7070866264093052,0.00784508191411615,0.006839639259995375",combined_focus_measure
3.9115161895751953,343.0559081986909,354.50079367973,333.12453014334284,0.540766195723819,0.17376090934356603,0.1380184989405773,"0.706921654501375,0.7072102872031706,0.008213902417632198,0.006922129594368929",combined_focus_measure
4.1516478061676025,358.16534447593364,373.2747807531764,347.03609366144883,0.5420163778145078,0.1737502494572987,0.13785697891763693,"0.7069560896123261,0.7071778203994239,0.00806935549948465,0.006892256306305829",combined_focus_measure
4.472078800201416,374.62926886581545,391.0931932556972,362.3656354416525,0.5435870488105091,0.17386189151201153,0.13838707055249272,"0.7068985320442331,0.7072285889433696,0.008513836505296453,0.007050032825421585",combined_focus_measure
4.714248180389404,393.1689001637393,411.7085314616632,372.63339034901475,0.5449145575364006,0.1738526015876418,0.13810952201048896,"0.7069331398858367,0.7071973667338893,0.008299006138748344,0.0069675471231947245",combined_focus_measure
5.026509761810303,410.2735620089724,427.37822385420554,393.544596826769,0.5466979948528357,0.1740724691091742,0.1385226759149965,"0.7068591257473137,0.707265521981155,0.008683967473552231,0.007088474686845337",combined_focus_measure
5.269035577774048,436.9595121564066,463.6454623038409,408.01623526998156,0.5480436113194581,0.1741828191207438,0.13848868198602313,"0.706855315171372,0.707268786617867,0.008705338650406739,0.00711645761965297",combined_focus_measure
5.484414100646973,444.84173784781296,452.7239635392193,428.47484781322123,0.5491517210092007,0.1741774230269245,0.13893432418098223,"0.7068860577867337,0.707232370658228,0.009073139800950087,0.007221726526662825",combined_focus_measure
5.679644823074341,463.13045258612715,481.41916732444133,447.7279615759467,0.5502959727892252,0.17407133891574775,0.138639603535881,"0.7069741604204423,0.7071475496908137,0.008859661478224798,0.007168393305349547",combined_focus_measure
5.96696138381958,483.0116983931894,502.8929442002517,467.330037585526,0.5518109150655031,0.17438226586812836,0.13893882874097735,"0.706819059837711,0.7072987354395381,0.009117311976728718,0.007224272841175701",combined_focus_measure
6.246504783630371,512.0843333867625,541.1569683803356,482.24813618593816,0.5531736655430035,0.1743381165396948,0.13896514658122222,"0.7068600497496423,0.7072578500635541,0.00910158378213497,0.007236350189785095",combined_focus_measure
