focus_value,position,quaternion
2305.047429218735,"0.6316130598494746,-0.0932587937292987,0.22772944608266926","0.7157049728026952,-0.6981367643997388,-0.01896018536078155,-0.003458535823404616"
1969.330548302988,"0.6325359357544984,-0.09319193052573334,0.22776374507677313","0.715766533533922,-0.6980758956820755,-0.01886462257723645,-0.003526947053692877"
1702.2437306743907,"0.6331298013584712,-0.09315627166585289,0.22774625084640965","0.7157774767723039,-0.6980642517670892,-0.018882768598423014,-0.003513573734300951"
1459.0731581075127,"0.6342421658280422,-0.09308222065703167,0.22780175991981108","0.715774963294671,-0.6980682157725044,-0.018812176439042785,-0.0036152546702646806"
1253.5519765980102,"0.634858320522848,-0.09305568582894538,0.2279084772601837","0.7157937110709082,-0.6980515574863276,-0.018692597383813302,-0.0037380590279256897"
1067.5112336304082,"0.635688483149752,-0.09303468089278383,0.2278142887462826","0.7157724776349519,-0.6980721556330393,-0.01874765467736204,-0.003681200111716657"
901.4810477043267,"0.6365172950409567,-0.09298013605366315,0.22775352918638872","0.7158221725448214,-0.698020835130988,-0.018767673337081688,-0.0036476641515650037"
757.4930421954614,"0.6370501704689948,-0.09294444683964664,0.22780046179943642","0.7158281986566173,-0.6980147224270891,-0.018756181932279074,-0.00369363268064959"
640.2232070043692,"0.6378493964695254,-0.09287396300656003,0.22779284107176112","0.7158494710194832,-0.6979929538597502,-0.018753135329418576,-0.003700151156797529"
548.0942770914954,"0.6384380455629656,-0.09282153726534936,0.22780016555721752","0.7158488516623791,-0.6979944412095926,-0.018723595732065976,-0.0036889804856837668"
474.9556801051964,"0.6392678709112657,-0.0928248676403875,0.22797197773488592","0.7158478453541516,-0.6979980352194294,-0.018595287054072228,-0.0038497312908365843"
418.4633768521571,"0.640109251670538,-0.09276557054311299,0.22799281978341934","0.7158520889296816,-0.6979934799981939,-0.018594800674305946,-0.003888707099392682"
376.3892363937257,"0.6407212807015533,-0.09275362776366779,0.2280088318396245","0.7158547361767996,-0.6979922027785905,-0.01853672112449931,-0.0039078796665670155"
338.6079880269806,"0.6410231612305426,-0.0927018044345832,0.22797079892653238","0.7158624336052264,-0.6979836814572162,-0.01856094554287145,-0.0039048524669541645"
312.24532085358453,"0.6418143253621486,-0.09265184074755413,0.22796568262290903","0.7158546884824238,-0.6979920973475464,-0.0185360898161526,-0.003938323556149155"
283.08205047486763,"0.6420474738161555,-0.09265657896340836,0.22797371261120386","0.7158706234332938,-0.6979762012192517,-0.01852497001963733,-0.003911332578739399"
264.40074578789415,"0.6420014370496132,-0.09264745488713053,0.22804536546529336","0.7158944061397944,-0.6979519117384035,-0.018512327274950734,-0.003952454594834582"
247.52751835831535,"0.6419936790051938,-0.09263543764087756,0.22799875947599008","0.7158842034004727,-0.6979612747420355,-0.018562076948998876,-0.003913512678272123"
228.6791844786523,"0.6419790975376691,-0.09265858248113057,0.22800317581563784","0.7158944784660375,-0.697951038266277,-0.018544837061942036,-0.003941180433846839"
218.89996531092186,"0.6201310806357403,-0.09394986057661409,0.2264498483161515","0.7156622571733922,-0.6981497348795894,-0.02026137531024487,-0.0019894762079828657"
206.1351631607375,"0.6201809539744693,-0.09389732209694442,0.22641709826569414","0.7156805488716877,-0.6981311092400863,-0.02025657280202339,-0.001994376153832839"
254.41454512059002,"0.6201898497491197,-0.09391701467530741,0.22647781741549694","0.7156638169878347,-0.6981498261195365,-0.020200339318940802,-0.002016837887323053"
2234.838364544472,"0.6202028157620235,-0.09388393534313236,0.22651095962117263","0.7156804397336316,-0.6981325946334549,-0.020203802719720113,-0.0020481329786885554"
3675.515537203578,"0.6201885845000791,-0.09391927792176336,0.22649529147501296","0.7156829504438912,-0.6981299223459471,-0.020208806517260956,-0.002032266792745597"
5180.7528425628625,"0.6202023380559071,-0.09391390500194252,0.22652446487464983","0.7156711623923181,-0.6981430903439577,-0.020167411097883357,-0.002070810137561182"
6414.11938125029,"0.6202041801035401,-0.09390532023650966,0.22651071228005346","0.7157011175719423,-0.6981116048472255,-0.02019687326712553,-0.002045432505800137"
7619.480132200232,"0.6201954498212354,-0.09386373896194004,0.22645540182060697","0.7156974321574345,-0.6981141702973949,-0.02024206965646442,-0.0020123243419323017"
8729.902219552187,"0.6202139388883042,-0.09388915406296108,0.22654562519921373","0.7156884833782766,-0.6981254065364236,-0.020165341960198827,-0.002066516799741805"
9647.043959833749,"0.6201959674569034,-0.09390346872306846,0.22647067892211006","0.7156780666781528,-0.6981345755973897,-0.020222217264712225,-0.002020188152848963"
10444.988441595,"0.6202090909129626,-0.09392699947115785,0.2265234278674489","0.7156650862461663,-0.6981489438023839,-0.020180247115227767,-0.002072250528160232"
11153.229581308002,"0.6202009513986404,-0.09389145939218749,0.22649795935189349","0.7156884046140599,-0.6981243090271779,-0.020208010454577263,-0.002047671793692401"
