focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
75.43992501966905,53.630993108827994,0.6945212780953669,0.07189008495352307,0.37449408390185046,"0.7051785379206313,0.7087562947013516,0.01779715384283653,0.008426487549749482",0.0,sobel_laplacian
59.54111534608174,43.64230567249443,0.6957711553123316,0.07198611761823294,0.37452738921081885,"0.7051452021345761,0.708787889437858,0.01784284928372369,0.008461939627113658",0.20665788650512695,sobel_laplacian
47.91380301211581,36.28649067814988,0.697431082835225,0.07220790207162717,0.37458415887809365,"0.7050837013189821,0.7088486047506021,0.017849216313899414,0.008487352616024216",0.487046480178833,sobel_laplacian
41.391071558097494,34.86834010407918,0.6984304506229041,0.07231098503526555,0.37472122807978925,"0.7050781314912935,0.7088501180453693,0.017984955899581052,0.00853697845272972",0.6588923931121826,sobel_laplacian
34.81546355174987,28.239855545402246,0.6993660068615216,0.0722502077872841,0.3748035219346343,"0.7051131133683075,0.7088154446364944,0.017972541343088788,0.008552809976378263",0.7982995510101318,sobel_laplacian
32.35071882018341,29.885974088616944,0.6993717375377055,0.07231126490285572,0.3747395135598728,"0.7050820481777796,0.7088470983264009,0.0179476334679121,0.008542773821808777",1.0844967365264893,sobel_laplacian
31.45982826661887,30.56893771305433,0.696736742260933,0.07205107087315892,0.3744163149244237,"0.7051413338200349,0.7087977408447701,0.017652365165061766,0.008357985159802881",1.3013951778411865,sobel_laplacian
43.672632195822175,55.885436125025485,0.6890480666538554,0.07113590106335058,0.37343138987514013,"0.7054030231286628,0.7085590255719699,0.01694936136975572,0.007962499017329079",1.4442977905273438,sobel_laplacian
1669.162619589605,3294.6526069833876,0.680779885592572,0.07003287890523066,0.3721618045546199,"0.7057465127835076,0.7082451836287019,0.015985042207234765,0.0074228017821900095",1.6928002834320068,sobel_laplacian
3352.9773265841645,5036.792033578724,0.6807723087789818,0.07013666963061183,0.3721259622924241,"0.7057314322806729,0.7082600002518832,0.015996496190667755,0.007418196808828771",1.929943323135376,sobel_laplacian
4704.642151544407,6056.306976504649,0.6807723670578972,0.07015899722318378,0.3721726893825573,"0.7057183171804307,0.708272359144191,0.016011364851710345,0.007453741605967976",2.1306753158569336,sobel_laplacian
5449.903153412081,6195.1641552797555,0.6807632933365424,0.07017819517214255,0.3721861385481432,"0.7057010904254375,0.7082892901425218,0.016019663799068044,0.007458070361421125",2.3083724975585938,sobel_laplacian
5874.745119149791,6299.5870848875,0.6807727963269453,0.07016335794968473,0.3722073854286082,"0.7057272845252737,0.708262333669901,0.016057481808526543,0.007458140453107325",2.4921865463256836,sobel_laplacian
6127.248189857783,6379.751260565775,0.6807686018472535,0.07020160342747572,0.3722085309164689,"0.7056789879535235,0.7083106227147403,0.016052841100121056,0.007452113992828309",2.7322587966918945,sobel_laplacian
6258.364259383647,6389.480328909511,0.6807875740342745,0.07015722192092533,0.3721832226787712,"0.7057107349749697,0.7082792658189756,0.016034749006457946,0.007465050322733355",2.9435713291168213,sobel_laplacian
6324.604720915811,6390.845182447976,0.6807636671460977,0.07016796691947601,0.3722104594207225,"0.7057021598003466,0.7082876348684689,0.01605127537202733,0.007446106666439512",3.1670708656311035,sobel_laplacian
6344.0491382541595,6363.493555592508,0.6807707271478867,0.07016972862306475,0.372189383840459,"0.7057025523179307,0.7082875631565007,0.016033976153997695,0.007452995268850552",3.3812954425811768,sobel_laplacian
6346.94307327277,6349.83700829138,0.6807706009475958,0.07017411290681745,0.3721756214063417,"0.7056954436949079,0.7082947807835411,0.01603143221332272,0.007445632560914205",3.659841775894165,sobel_laplacian
6369.980795371572,6393.018517470375,0.6807693925355122,0.0702020377837281,0.37218708079936735,"0.7056943669075214,0.7082957154135472,0.016024720327811933,0.007473177384446147",3.9090569019317627,sobel_laplacian
6385.380369644274,6400.779943916975,0.6807636186008934,0.07016864320355616,0.37218026829256756,"0.7057151948633901,0.7082756854546409,0.01600529501523723,0.007446318832898779",4.0923988819122314,sobel_laplacian
6392.247988310868,6399.115606977462,0.6807700792307,0.07016223142149332,0.3722014435976568,"0.7057110904213332,0.7082791712422115,0.01602599220597754,0.007459223457778904",4.3071699142456055,sobel_laplacian
6404.272653308746,6416.297318306625,0.6807699520969609,0.07018763139663647,0.3722077422762953,"0.7056964082233872,0.7082933016759169,0.016051334225477932,0.007452039400124592",4.5265843868255615,sobel_laplacian
6391.798704899202,6379.324756489657,0.6807722687035009,0.07018459148164155,0.3722155066497225,"0.7056895842450953,0.7082994047232684,0.016074979435002495,0.007467194440526351",4.707209348678589,sobel_laplacian
6393.463249756753,6395.127794614305,0.6807720982913043,0.07018336847849417,0.3722226932865965,"0.7057058797295948,0.708282874596273,0.016086597060899606,0.00747009127918231",4.8968799114227295,sobel_laplacian
6390.330850238651,6387.198450720549,0.6807706298503027,0.0701530009822773,0.3722269996134119,"0.7057043312390261,0.7082847814022513,0.016059016099337978,0.007494885347041168",5.108719348907471,sobel_laplacian
6406.094555865815,6421.858261492979,0.6807743322708233,0.07017410798917226,0.3721657962427379,"0.7057031368251188,0.7082875203535022,0.01601078961308278,0.0074515637714868185",5.296993017196655,sobel_laplacian
6398.39298280891,6390.691409752006,0.6807669119252218,0.0701432681127723,0.37222383440139356,"0.7057110799351054,0.7082784108213761,0.016057785355224216,0.007464043854285364",5.50837254524231,sobel_laplacian
6406.3038717099935,6414.2147606110775,0.6807627346836366,0.0701878955778159,0.37220557578026564,"0.705698176529847,0.7082917382378104,0.016034837241477178,0.007468680013838193",5.750820159912109,sobel_laplacian
