timestamp,focus_value,ema,dema,dFV,smooth_ddFV,ratio,x,y,z,metric
0.0,77.91969175761062,77.91969175761062,77.91969175761062,0,0,1.0,0.437065535204459,0.21010399925507747,0.26637559489259766,squared_gradient
0.17369508743286133,77.31295926571147,77.86190771076308,77.80962690647245,-0.11006485113817632,0,0.9985874578215663,0.4370782163083906,0.21010637140553987,0.2663674230386848,squared_gradient
0.24013543128967285,76.65583523260591,77.7470436652243,77.5958173725215,-0.21380953395095048,-0.05187234140638708,0.9972521454934111,0.4370766837752532,0.21010017154282318,0.26636410003793864,squared_gradient
0.46024537086486816,77.07086287235313,77.68264549447466,77.48755669420817,-0.10826067831332864,0.02683825711561738,0.9986048129657094,0.4370789071465665,0.21008895440094794,0.2663523523987351,squared_gradient
0.6614453792572021,76.49036193673855,77.56909467945216,77.28984931323832,-0.1977073809698453,-0.03130422277044964,0.9974485273583982,0.4374583599181336,0.21015596096170935,0.2664911657989298,squared_gradient
0.7252070903778076,75.61805833690042,77.38328169444723,76.96251461477311,-0.3273346984652079,-0.08046577013290612,0.9957648423256902,0.4382254759652821,0.21014174417939205,0.2666293168786462,squared_gradient
0.8936810493469238,73.02182205045501,76.96790458549559,76.21139317673894,-0.7511214380341755,-0.25212625485093687,0.9902404249420146,0.440930742066227,0.210059387512102,0.2667975774227523,squared_gradient
0.938896656036377,82.49504101156124,77.49429853083518,77.28609701631498,1.0747038395760455,0.7868495113796421,1.0141016165008785,0.4416998810951183,0.21001695712718876,0.2667997261302568,squared_gradient
1.0872595310211182,75.58013540177177,77.3119972804482,76.95868525505598,-0.3274117612590004,-0.3076330447277018,0.9957636395949729,0.4442150413978888,0.2098826639394541,0.2668515328853558,squared_gradient
1.3314721584320068,88.77885284585274,78.40407876286767,79.07248922398757,2.1138039689315917,1.066791342731445,1.0274667370151405,0.4482746541835531,0.20987051008346516,0.26711388751276743,squared_gradient
1.5013375282287598,131.82647965644497,83.49192646701789,88.69996956892895,9.627480344941375,4.290233859370614,1.121755119124551,0.45134768898051203,0.20990512973276015,0.26728702065131194,squared_gradient
1.650033950805664,202.14152397552894,94.79188813449514,109.72770197346551,21.027732404536565,7.845242959482902,1.237065835611092,0.4537745489034922,0.20987002285542794,0.2673325986317831,squared_gradient
1.7644627094268799,192.38272712551122,104.08625375268714,126.00879707107215,16.281095097606638,1.5493028262764872,1.1483772539184658,0.4557402924271282,0.20978372973003057,0.2674590967318603,squared_gradient
1.937013864517212,359.12495695801897,128.37565405795684,170.18646019364442,44.17766312257227,14.72293542562106,1.350591896355101,0.4586208127377184,0.2095797007122107,0.26744441574345934,squared_gradient
2.165242910385132,774.7209019132306,189.93234432988766,283.4553172701138,113.2688570764694,41.907064689759096,1.6655573947985516,0.46242504545476154,0.20946430346444814,0.2676927035888906,squared_gradient
2.3396995067596436,1132.9615073211335,279.7446455671492,445.61941744201897,162.16410017190515,45.40115389259742,1.572097576907946,0.4650207179392602,0.2093487755136803,0.26785780882217003,squared_gradient
2.5252654552459717,1817.1999069107558,426.16895617130217,708.7252688904181,263.1058514483991,73.17145258454569,1.5904272595631062,0.46750852384209307,0.2093440309902996,0.267923112810754,squared_gradient
2.6665849685668945,2345.460910472332,608.9586661047335,1029.9860199332286,321.2607510428105,65.66317608947855,1.453293772840606,0.46940113574091474,0.20939472448867597,0.26790927158577915,squared_gradient
2.804835796356201,2465.004661904606,785.7249514190071,1326.5858630243692,296.59984309114066,20.50113406890435,1.287964921223269,0.4711197172790129,0.209252057515946,0.2677899277443185,squared_gradient
2.9323410987854004,2186.8785166013013,919.168148103035,1529.2528175077214,202.66695448335213,-36.71587726944209,1.152773341049564,0.4726884669225052,0.20928739198514107,0.2677633705090772,squared_gradient
3.094954252243042,2066.4067135396585,1028.428963858904,1679.2653551946441,150.01253768692277,-44.685147032935724,1.0980953155485458,0.47437487846302556,0.20924539019034843,0.26778474703400434,squared_gradient
3.3362560272216797,1411.4421590741435,1064.90641102226,1686.7617887119188,7.496433517274681,-93.60062560129191,1.0044641149143494,0.47701682725971056,0.20925436245059267,0.26783667590807286,squared_gradient
3.4489667415618896,1247.1323338448506,1082.2612608148877,1660.5943237750516,-26.16746493686719,-63.63226202771689,0.9844865676279935,0.4782413619533405,0.20924898381577178,0.267931756581229,squared_gradient
3.5637056827545166,1065.2249850187904,1080.6387583581165,1602.424503575472,-58.16982019957959,-47.817308645214645,0.9649704811303093,0.47967245916878004,0.20919441910871445,0.26798899015175126,squared_gradient
3.7663216590881348,710.3684077537785,1045.3749154434176,1485.5613984791544,-116.86310509631767,-53.25529677097636,0.9270710695976239,0.4820556888119176,0.20910035253743994,0.26795402422461256,squared_gradient
3.9260542392730713,522.5507982575925,995.582142378101,1348.795499018005,-136.76589946114927,-36.57904556790398,0.9079365554320652,0.48365427577866715,0.20901112455660836,0.26791290553952585,squared_gradient
4.176665544509888,278.96254729857594,927.332657132432,1185.1571122034065,-163.63838681459856,-31.725766460676635,0.8786781339841837,0.48657891601593334,0.20903212773566027,0.2678771165739929,squared_gradient
4.361462593078613,213.34710767002917,859.334033374108,1031.0812140855537,-154.07589811785283,-11.08163888196545,0.8699953815984787,0.4865572158320153,0.2090329608920059,0.26786013611783754,squared_gradient
4.523258209228516,187.11977269272646,795.3136275949288,892.7807096765032,-138.30050440905052,2.346877413418431,0.8658684664993082,0.48609593225342385,0.20902678683196704,0.2678399530190079,squared_gradient
